"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
16,1616,5,5,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
16,1617,41,41,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
16,1618,59,59,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,4
16,1619,57,57,NA,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,4
16,1620,5,5,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
17,1701,12,12,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,3
17,1702,35,35,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,4
17,1703,12,12,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
17,1704,12,12,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,2,3
17,1705,72,72,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,5
17,1706,12,12,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,3
17,1707,38,38,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,5
17,1708,11,11,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,4
17,1709,13,13,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,3
17,1710,13,13,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,3
17,1711,40,40,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,2
17,1712,12,12,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,4
17,1713,6,6,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,5
17,1714,35,35,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,4
17,1715,12,12,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,5
17,1716,40,40,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,5
17,1717,53,53,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,5
17,1718,30,30,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,5
17,1719,12,12,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,2
